reviewer_risk,example_title,evidence_excerpt,expert_decision,why_boundary_matters,metadata_fix
"family name is baseline/teacher/reference, not target lineage",SLM as Guardian: Pioneering AI Safety with Small Language Models,family_signal=Llama; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=usable_parent_only_family_signal,"Use only as upstream-dependence evidence, not as a target-family claim.","Teacher, parent, and baseline mentions are useful for reuse measurement but can be wrong as target-family labels.",Use typed relation/evidence fields rather than a generic model or release link.
multi-family mention cannot be forced into one lineage,ixi-GEN: Efficient Industrial sLLMs through Domain Adaptive Continual Pretraining,family_signal=Gemma; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=usable_ambiguous_family_signal,Use as a family-attention signal but not as a unique primary lineage.,A paper can study several backbones or targets; forcing one lineage would overstate precision.,Use typed relation/evidence fields rather than a generic model or release link.
generic bucket can hide named family evidence,Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-Alignment,family_signal=GENERIC_LLM; evidence_tier=tier4_weak_or_generic_family_signal; manual_precision=false_negative_named_family,Treat as a false negative for family coverage.,Generic/no-family buckets sometimes hide named target families and should be counted as uncertainty.,Use typed relation/evidence fields rather than a generic model or release link.
wrong family label can create false provenance,PILLOW : Enhancing Efficient Instruction Fine-tuning via Prompt Matching,family_signal=Llama; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=false_positive_family_link,Exclude from strict lineage claims and use only in calibrated aggregate analysis.,This is the failure mode that motivates evidence-tiered family sensitivity.,Use typed relation/evidence fields rather than a generic model or release link.
GitHub/code link does not imply weights or data,SparQ Attention: Bandwidth-Efficient LLM Inference,GitHub=https://github.com/graphcore-research/llm-inference-research/tree/2024-05-sparq,category_plausible_from_extracted_evidence,"A GitHub/code/script signal is visible, without a clear model/checkpoint/data asset signal.",Use typed relation/evidence fields rather than a generic model or release link.
HF/model link does not imply a complete release package,LoSparse: Structured Compression of Large Language Models based on Low-Rank and Sparse Approximation,GitHub=https://github.com/huggingface/transformers/tree/main/examples/pytorch; https://github.com/microsoft/DeBERTa (+1 more); HF=https://huggingface.co/textattack,category_plausible_from_extracted_evidence,A Hugging Face/model/checkpoint/adapter signal is visible.,Use typed relation/evidence fields rather than a generic model or release link.
stated release may lack a concrete reusable asset,Multistage Collaborative Knowledge Distillation from a Large Language Model for Semi-Supervised Sequence Generation,No GitHub/HF link signal in extracted fields,category_plausible_from_extracted_evidence,"A release/open-source signal is stated, but the extracted fields do not identify a concrete reusable asset URL.",Use typed relation/evidence fields rather than a generic model or release link.
complete package is an explicit multi-asset condition,Baby Llama: knowledge distillation from an ensemble of teachers trained on a small dataset with no performance penalty,GitHub=https://github.com/karpathy/nanoGPT; https://github.com/davda54/sam; HF=https://huggingface.co/timinar/baby-llama-58m,category_plausible_from_extracted_evidence,Multiple concrete assets or a sufficiently complete public recipe are visible.,Use typed relation/evidence fields rather than a generic model or release link.
Artifact role ambiguity,base vs merge/mixed or packaging overlay,"A single repository can expose base-model, merge, quantization, or deployment signals at the same time.",RQ1 error/ambiguity example,"A single repository can expose base-model, merge, quantization, or deployment signals at the same time.",Store primary artifact role separately from packaging overlays.
Parent-only provenance,family label names an upstream parent but not the target artifact,Family labels help discovery but can mislead if treated as exact genealogy.,RQ3 provenance sufficiency example,Family labels help discovery but can mislead if treated as exact genealogy.,"Use typed upstream relations such as base, teacher, adapter target, merge input, quantization source, and baseline."
Teacher/reference confusion,paper names GPT-4 or another teacher/reference model,Teacher or evaluator mentions can be mistaken for the artifact's own family.,RQ3 audit ambiguity example,Teacher or evaluator mentions can be mistaken for the artifact's own family.,"Separate target artifact, teacher model, evaluator, and baseline fields."
False positive family link,family term appears in context but does not identify the artifact lineage,Text mentions alone overstate provenance precision.,RQ3 strict-vs-usable distinction,Text mentions alone overstate provenance precision.,Attach provenance confidence and evidence type to family labels.
Stated release without reusable asset,"paper states availability but lacks explicit code, weights, data, or recipe evidence",Binary open/not-open metadata hides large differences in reuse and preservation readiness.,RQ4 release hierarchy example,Binary open/not-open metadata hides large differences in reuse and preservation readiness.,"Expose separate release fields for code, weights/adapters, data/evaluation assets, scripts, and complete recipes."
No bidirectional paper-repository link,paper and repository records exist but are not explicitly connected,Curators cannot reliably connect scholarly claims to artifact records.,RQ2/RQ5 paper-repository alignment example,Curators cannot reliably connect scholarly claims to artifact records.,Add DOI/arXiv-to-repository and repository-to-paper relation fields.
