paper_id,title,year,repo_level_id,hf_repo_id,repo_model_repo_type,repo_variant_type,repo_family_primary,repo_base_model_relation_type,link_method,link_confidence,evidence_text_or_field
paper_006ada4aba18,Quantifying the Capabilities of LLMs across Scale and Precision,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_0125db86668a,SuperCorrect: Advancing Small LLM Reasoning with Thought Template Distillation and Self-Correction,2024,repo_343e68eb6d7a,deepseek-ai/DeepSeek-R1,base,base_or_unknown,DeepSeek,unknown,exact_model_mention,medium,deepseek r1
paper_059179c12f53,FinerCut: Finer-grained Interpretable Layer Pruning for Large Language Models,2024,repo_14f41023e7bd,fxinwei123/llama3-70B-quantized,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama3 70b
paper_0841c6df66f5,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,2025,repo_dcabb0541b69,jonathanhe123/SemCoT-mistral-1.1b-gsm8k,finetune,finetune,Mistral,finetune,model_card_arxiv_ref,high,arxiv_refs::2510.24940
paper_0841c6df66f5,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,2025,repo_3e4fa9ede71d,jonathanhe123/SemCoT-mistral-1.1b-svamp,finetune,finetune,Mistral,finetune,model_card_arxiv_ref,high,arxiv_refs::2510.24940
paper_0841c6df66f5,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,2025,repo_e0b9718f2456,jonathanhe123/SemCoT-mistral-1.1b-commonsense_qa,finetune,finetune,Mistral,finetune,model_card_arxiv_ref,high,arxiv_refs::2510.24940
paper_0841c6df66f5,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,2025,repo_442cc77b343f,jonathanhe123/SemCoT-mistral-1.1b-coin_flip,finetune,finetune,Mistral,finetune,model_card_arxiv_ref,high,arxiv_refs::2510.24940
paper_0841c6df66f5,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,2025,repo_b989cd15c2d3,jonathanhe123/SemCoT-mistral-1.1b-multiarith,finetune,finetune,Mistral,finetune,model_card_arxiv_ref,high,arxiv_refs::2510.24940
paper_08691801f2a3,MiniCache: KV Cache Compression in Depth Dimension for Large Language Models,2024,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_09ee78603087,From Local to Global: Revisiting Structured Pruning Paradigms for Large Language Models,2025,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_0a226719c404,Differentiable Model Scaling using Differentiable Topk,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_0a80607c9221,Quantization-Aware Distillation for NVFP4 Inference Accuracy Recovery,2026,repo_c992242c2573,zack203002/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,finetune,base_or_unknown,UNKNOWN,quantized,model_card_arxiv_ref,high,arxiv_refs::2601.20088
paper_0a80607c9221,Quantization-Aware Distillation for NVFP4 Inference Accuracy Recovery,2026,repo_0d54cd8d5439,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,finetune,base_or_unknown,UNKNOWN,quantized,model_card_arxiv_ref,high,arxiv_refs::2601.20088
paper_0a80607c9221,Quantization-Aware Distillation for NVFP4 Inference Accuracy Recovery,2026,repo_7841d636c218,Cirrascale/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,finetune,base_or_unknown,UNKNOWN,quantized,model_card_arxiv_ref,high,arxiv_refs::2601.20088
paper_0a80607c9221,Quantization-Aware Distillation for NVFP4 Inference Accuracy Recovery,2026,repo_615742c74a53,williamchangtw/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,finetune,base_or_unknown,UNKNOWN,quantized,model_card_arxiv_ref,high,arxiv_refs::2601.20088
paper_0c9cbe73984d,Gradient Weight-normalized Low-rank Projection for Efficient LLM Training,2025,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_0cc21744546b,QuantLRM: Quantization of Large Reasoning Models via Fine-Tuning Signals,2026,repo_5a1e9505baed,nanzhang/QuantLRM-Olmo-3-7B-Think-DPO-3-bit,finetune,finetune,OLMo,finetune,model_card_arxiv_ref,high,arxiv_refs::2602.02581
paper_0cc21744546b,QuantLRM: Quantization of Large Reasoning Models via Fine-Tuning Signals,2026,repo_1222c031ea03,nanzhang/QuantLRM-Olmo-3-7B-Think-3-bit,base,base_or_unknown,OLMo,unknown,model_card_arxiv_ref,high,arxiv_refs::2602.02581
paper_0cc21744546b,QuantLRM: Quantization of Large Reasoning Models via Fine-Tuning Signals,2026,repo_a4e6f0ce4081,nanzhang/QuantLRM-R1-Llama-70B-3-bit,merge_mixed,finetune,MIXED,finetune,model_card_arxiv_ref,high,arxiv_refs::2602.02581
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_78d3c48f718b,facebook/MobileLLM-R1.5-950M,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_46a88bcd4fe3,facebook/MobileLLM-R1-360M-base,base,base_or_unknown,UNKNOWN,unknown,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_df6b89f531d6,facebook/MobileLLM-R1-360M,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_1e223ddc961d,facebook/MobileLLM-R1-950M-base,base,base_or_unknown,UNKNOWN,unknown,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_ca1907344cee,facebook/MobileLLM-R1.5-360M,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
