case_id,case_type,example_title,evidence_excerpt,curation_question_tested,internal_expert_schema_judgment,required_fields,threshold_implication,needs_user_recheck
C01,Direct family target,RPO-RAG: Aligning Small LLMs with Relation-aware Preference Optimization for Knowledge Graph Question Answering,family_signal=Llama; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=high_precision_family_link,Can the schema distinguish target lineage from parent/teacher/baseline context?,schema_fields_sufficient_with_evidence_tier,artifact_role; upstream_relation_type; provenance_evidence_tier; paper_repository_relation,Use for provenance or collection organization only when relation type and evidence tier are explicit.,yes
C02,Multi-family target,ixi-GEN: Efficient Industrial sLLMs through Domain Adaptive Continual Pretraining,family_signal=Gemma; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=usable_ambiguous_family_signal,Can the schema distinguish target lineage from parent/teacher/baseline context?,schema_fields_sufficient_with_evidence_tier,artifact_role; upstream_relation_type; provenance_evidence_tier; paper_repository_relation,Use for provenance or collection organization only when relation type and evidence tier are explicit.,yes
C03,Parent/teacher only,SLM as Guardian: Pioneering AI Safety with Small Language Models,family_signal=Llama; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=usable_parent_only_family_signal,Can the schema distinguish target lineage from parent/teacher/baseline context?,schema_fields_sufficient_with_evidence_tier,artifact_role; upstream_relation_type; provenance_evidence_tier; paper_repository_relation,Use for provenance or collection organization only when relation type and evidence tier are explicit.,yes
C04,Generic bucket with named target,Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-Alignment,family_signal=GENERIC_LLM; evidence_tier=tier4_weak_or_generic_family_signal; manual_precision=false_negative_named_family,Can the schema distinguish target lineage from parent/teacher/baseline context?,schema_fields_sufficient_with_evidence_tier,artifact_role; upstream_relation_type; provenance_evidence_tier; paper_repository_relation,Use for provenance or collection organization only when relation type and evidence tier are explicit.,yes
C05,Wrong family label,PILLOW : Enhancing Efficient Instruction Fine-tuning via Prompt Matching,family_signal=Llama; evidence_tier=tier3_expanded_inventory_backed_family; manual_precision=false_positive_family_link,Can the schema distinguish target lineage from parent/teacher/baseline context?,schema_fields_sufficient_with_evidence_tier,artifact_role; upstream_relation_type; provenance_evidence_tier; paper_repository_relation,Use for provenance or collection organization only when relation type and evidence tier are explicit.,yes
C06,no_explicit_release_signal,Sci-CoT: Leveraging Large Language Models for Enhanced Knowledge Distillation in Small Models for Scientific QA,No GitHub/HF link signal in extracted fields,Can the schema distinguish release-package strength from a generic availability signal?,schema_fields_sufficient_with_evidence_tier,release_asset_types; release_package_score; paper_repository_relation; license_and_access_signal,Count as release evidence only at the strongest concrete asset level visible in public records.,yes
C07,stated_or_incomplete_release_signal,Multistage Collaborative Knowledge Distillation from a Large Language Model for Semi-Supervised Sequence Generation,No GitHub/HF link signal in extracted fields,Can the schema distinguish release-package strength from a generic availability signal?,schema_fields_sufficient_with_evidence_tier,release_asset_types; release_package_score; paper_repository_relation; license_and_access_signal,Count as release evidence only at the strongest concrete asset level visible in public records.,yes
C08,code_or_scripts_only,SparQ Attention: Bandwidth-Efficient LLM Inference,GitHub=https://github.com/graphcore-research/llm-inference-research/tree/2024-05-sparq,Can the schema distinguish release-package strength from a generic availability signal?,schema_fields_sufficient_with_evidence_tier,release_asset_types; release_package_score; paper_repository_relation; license_and_access_signal,Count as release evidence only at the strongest concrete asset level visible in public records.,yes
C09,model_checkpoint_or_adapter,LoSparse: Structured Compression of Large Language Models based on Low-Rank and Sparse Approximation,GitHub=https://github.com/huggingface/transformers/tree/main/examples/pytorch; https://github.com/microsoft/DeBERTa (+1 more); HF=https://huggingface.co/textattack,Can the schema distinguish release-package strength from a generic availability signal?,schema_fields_sufficient_with_evidence_tier,release_asset_types; release_package_score; paper_repository_relation; license_and_access_signal,Count as release evidence only at the strongest concrete asset level visible in public records.,yes
C10,multiple_assets_or_complete_recipe,Baby Llama: knowledge distillation from an ensemble of teachers trained on a small dataset with no performance penalty,GitHub=https://github.com/karpathy/nanoGPT; https://github.com/davda54/sam; HF=https://huggingface.co/timinar/baby-llama-58m,Can the schema distinguish release-package strength from a generic availability signal?,schema_fields_sufficient_with_evidence_tier,release_asset_types; release_package_score; paper_repository_relation; license_and_access_signal,Count as release evidence only at the strongest concrete asset level visible in public records.,yes
