paper_id,work_id,title,year,mechanism,release_package_score_0_to_4,release_package_tier,mentions_huggingface_link,mentions_github_link,has_code_or_scripts_signal,has_model_checkpoint_or_adapter_signal,has_data_or_evaluation_asset_signal,has_recipe_or_pipeline_signal,has_stated_release_or_partial_signal,has_multiple_asset_or_complete_recipe_signal
paper_666274a45814,work_9a2ab3ba14c0,NutePrune: Efficient Progressive Pruning with Numerous Teachers for Large Language Models,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_27fdf5451069,work_56e93328155e,A Practical Tensor-Network Compression Pipeline for Production-Scale Large Language Models,2026,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_7d8104698533,work_d500bf5af6bb,Layer-wise dynamic rank for compressing large language models,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_6a65a58ed8c3,work_a730a9b8c659,Efficient One-shot Compression via Low-Rank Local Feature Distillation,2025,distillation_compression,4,multiple_assets_or_complete_recipe,1,1,1,1,0,1,1,1
paper_86dd155051f4,work_1198bd72e414,TinyGPT-V: Efficient Multimodal Large Language Model via Small Backbones,2023,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_eaa56add79c1,work_abb0e65301af,Fine-Tuning Small LLMs for High-Quality Semantic Search: A Cost-Efficient Alternative to Foundation Models,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_6303ec1e4213,work_604a810dfe5a,INT2.1: Towards Fine-Tunable Quantized Large Language Models with Error Correction through Low-Rank Adaptation,2023,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_f7ae01c5af5a,work_08a331952ba2,MoreauPruner: Robust Pruning of Large Language Models against Weight Perturbations,2024,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_cad9495c0037,work_79c5559ddbe6,Change Is the Only Constant: Dynamic LLM Slicing based on Layer Redundancy,2024,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_b8420d8d3326,work_ed49ee5b9c89,Adapt-Pruner: Adaptive Structural Pruning for Efficient Small Language Model Training,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
